Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-10T03:00:00Z,4.5,5,147.112564086914,2021,3,10,Quarta,03:00:00,Madrugada,Verao
2021-03-10T03:15:00Z,4.8,5.3,111.096038818359,2021,3,10,Quarta,03:15:00,Madrugada,Verao
2021-03-10T03:30:00Z,5,5.5,78.7451934814453,2021,3,10,Quarta,03:30:00,Madrugada,Verao
2021-03-10T03:45:00Z,5.2,5.8,80.0052719116211,2021,3,10,Quarta,03:45:00,Madrugada,Verao
2021-03-10T04:00:00Z,5.4,6.1,114.95002746582,2021,3,10,Quarta,04:00:00,Madrugada,Verao
2021-03-10T04:15:00Z,5.6,6.4,68.9579696655273,2021,3,10,Quarta,04:15:00,Madrugada,Verao
2021-03-10T04:30:00Z,5.7,6.4,95.2441864013672,2021,3,10,Quarta,04:30:00,Madrugada,Verao
2021-03-10T04:45:00Z,5.9,6.6,109.89778137207,2021,3,10,Quarta,04:45:00,Madrugada,Verao
2021-03-10T05:00:00Z,6,6.7,163.944915771484,2021,3,10,Quarta,05:00:00,Madrugada,Verao
2021-03-10T05:15:00Z,6.4,6.9,142.865234375,2021,3,10,Quarta,05:15:00,Madrugada,Verao
2021-03-10T05:30:00Z,6.7,7,97.0943984985352,2021,3,10,Quarta,05:30:00,Madrugada,Verao
2021-03-10T05:45:00Z,10.7,7.6,163.947387695313,2021,3,10,Quarta,05:45:00,Madrugada,Verao
2021-03-10T06:00:00Z,11.4,10.4,192.316268920898,2021,3,10,Quarta,06:00:00,Manha,Verao
2021-03-10T06:15:00Z,11.8,12.9,181.829284667969,2021,3,10,Quarta,06:15:00,Manha,Verao
2021-03-10T06:30:00Z,11.9,13.4,208.340484619141,2021,3,10,Quarta,06:30:00,Manha,Verao
2021-03-10T06:45:00Z,11.7,14.5,196.087585449219,2021,3,10,Quarta,06:45:00,Manha,Verao
2021-03-10T07:00:00Z,11,14.5,238.106658935547,2021,3,10,Quarta,07:00:00,Manha,Verao
2021-03-10T07:15:00Z,10.1,13.4,208.291488647461,2021,3,10,Quarta,07:15:00,Manha,Verao
2021-03-10T07:30:00Z,9,12.6,196.170928955078,2021,3,10,Quarta,07:30:00,Manha,Verao
2021-03-10T07:45:00Z,8.5,11.4,227.139129638672,2021,3,10,Quarta,07:45:00,Manha,Verao
2021-03-10T08:00:00Z,8.7,10.7,217.40544128418,2021,3,10,Quarta,08:00:00,Manha,Verao
