"Situação da Ligação de Água","Categoria de Imóvel","Perfil de Imóvel","Setor","CONSUMO_MEDIDO","TIPO_CONSUMO","MUNICIPIO","QUANTIDADE_ECONOMIAS","x","y"
"LIGADO","COMERCIAL","NORMAL",613,7,"REAL","RECIFE",1,-3886564.40218762,-909003.148241227
"LIGADO","RESIDENCIAL","NORMAL",613,5,"REAL","RECIFE",1,-3886114.03748031,-908709.355345149
"LIGADO","RESIDENCIAL","NORMAL",613,11,"REAL","RECIFE",1,-3886676.10506274,-907995.403779153
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MED IMOV","RECIFE",1,-3886586.06150963,-907971.787943685
"LIGADO","RESIDENCIAL","NORMAL",611,8,"REAL","RECIFE",1,-3885720.90267983,-908051.204818049
"LIGADO","RESIDENCIAL","GRANDE",611,197,"REAL","RECIFE",19,-3885510.70643432,-908010.406109588
"LIGADO","COMERCIAL","NORMAL",613,1,"REAL","RECIFE",1,-3886526.10115834,-908645.048368354
"LIGADO","RESIDENCIAL","NORMAL",613,21,"ESTIMADO","RECIFE",1,-3886513.75382306,-908978.224962083
"LIGADO","RESIDENCIAL","NORMAL",611,2,"REAL","RECIFE",1,-3885145.64396038,-908308.332393083
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",6,-3886965.24241195,-910013.049516916
"CORTADO","COMERCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3885402.41416576,-908700.748555394
"LIGADO","COMERCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3885935.54380128,-909133.366653061
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",32,-3886045.53302415,-908605.565360888
"LIGADO","COMERCIAL","NORMAL",611,22,"REAL","RECIFE",1,-3885938.1979919,-908364.092325016
"LIGADO","RESIDENCIAL","GRANDE",611,18,"INFORMADO","RECIFE",60,-3885696.60964999,-908223.879779656
"LIGADO","RESIDENCIAL","NORMAL",612,18,"REAL","RECIFE",1,NA,NA
"SUPRIMIDO","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3885816.74464258,-909803.750768374
"LIGADO","RESIDENCIAL","NORMAL",611,91,"REAL","RECIFE",4,-3885666.17055975,-908300.228894475
"LIGADO","RESIDENCIAL","NORMAL",612,4,"REAL","RECIFE",1,-3886756.53005525,-910070.486345475
"LIGADO","COMERCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,4,"REAL","RECIFE",1,-3885865.82651926,-908694.123719117
"LIGADO","RESIDENCIAL","CORPORATIVO",611,491,"ESTIMADO","RECIFE",120,-3885726.74083052,-908204.506223576
"LIGADO","RESIDENCIAL","NORMAL",612,8,"REAL","JABOATAO DOS GUARARAPES",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886410.51122924,-908284.865727545
"LIGADO","RESIDENCIAL","GRANDE",613,203,"REAL","RECIFE",16,-3886127.46160903,-908973.47398289
"LIGADO","RESIDENCIAL","NORMAL",611,168,"REAL","RECIFE",1,-3885791.46621261,-908550.482196623
"LIGADO","RESIDENCIAL","GRANDE",611,275,"REAL","RECIFE",1,-3885836.03319339,-908566.420077911
"LIGADO","RESIDENCIAL","GRANDE",611,285,"REAL","RECIFE",1,-3885825.60834571,-908586.921109794
"LIGADO","RESIDENCIAL","GRANDE",611,237,"REAL","RECIFE",1,-3885815.45712134,-908607.603871746
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",41,-3885854.0087308,-908645.545289537
"LIGADO","RESIDENCIAL","GRANDE",611,269,"REAL","RECIFE",1,-3885790.192495,-908630.037955185
"LIGADO","RESIDENCIAL","NORMAL",611,473,"REAL","RECIFE",1,-3885782.90941731,-908593.768920496
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886484.92552585,-908931.467719868
"LIGADO","RESIDENCIAL","NORMAL",613,23,"REAL","RECIFE",1,-3886485.81764025,-908935.902705152
"LIGADO","RESIDENCIAL","NORMAL",613,23,"REAL","RECIFE",3,-3886486.77966329,-908940.571815487
"CORTADO","RESIDENCIAL","GRANDE",611,NA,"CONS CORT","RECIFE",95,-3885875.79094952,-908599.567227653
"LIGADO","RESIDENCIAL","GRANDE",611,38,"REAL","RECIFE",32,-3885764.7357312,-909422.82039162
"CORTADO","RESIDENCIAL","GRANDE",611,0,"CONS CORT","RECIFE",35,-3885773.14625269,-908655.108352669
"LIGADO","COMERCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886380.91104268,-908426.64208677
"LIGADO","RESIDENCIAL","NORMAL",613,3,"ESTIMADO","RECIFE",1,-3886249.34843645,-907973.535969155
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886248.17935915,-907968.02055264
"LIGADO","RESIDENCIAL","TARIFA SOCIAL",613,0,"REAL","RECIFE",1,-3886247.06605293,-907962.768155818
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886245.96777483,-907957.58637779
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MED IMOV","RECIFE",1,-3886244.91335661,-907952.611844457
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886243.79682212,-907947.344268773
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886242.71123444,-907942.222652886
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886241.59681502,-907936.964973957
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886240.52681208,-907931.916563723
"LIGADO","RESIDENCIAL","NORMAL",613,2,"REAL","RECIFE",2,-3886239.40649272,-907926.630998574
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886238.32814081,-907921.543794515
"LIGADO","RESIDENCIAL","NORMAL",613,5,"REAL","RECIFE",1,-3886245.42943377,-907919.838501765
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886246.59439224,-907925.343567058
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886247.69745708,-907930.556040034
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",2,-3886248.7644544,-907935.5982654
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886249.8182047,-907940.578194431
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886250.91492432,-907945.760870095
"LIGADO","RESIDENCIAL","NORMAL",613,7,"REAL","RECIFE",1,-3886251.98548386,-907950.832109085
"LIGADO","RESIDENCIAL","NORMAL",613,21,"REAL","RECIFE",1,-3886253.02554186,-907955.734674659
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886254.1640063,-907961.11458821
"LIGADO","RESIDENCIAL","NORMAL",613,4,"REAL","RECIFE",1,-3886255.30269337,-907966.495626903
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886256.50583443,-907972.181179132
"LIGADO","RESIDENCIAL","NORMAL",613,22,"REAL","RECIFE",1,-3886265.31332122,-907970.273363161
"LIGADO","RESIDENCIAL","NORMAL",613,0,"MEDIA HD","RECIFE",1,-3886264.04661674,-907964.69272642
"LIGADO","RESIDENCIAL","NORMAL",613,13,"REAL","RECIFE",1,-3886262.85215859,-907959.430546894
"LIGADO","RESIDENCIAL","NORMAL",613,11,"REAL","RECIFE",1,-3886261.70913006,-907954.395065822
"LIGADO","RESIDENCIAL","NORMAL",613,6,"REAL","RECIFE",1,-3886260.53593395,-907949.226332878
"LIGADO","RESIDENCIAL","NORMAL",613,3,"REAL","RECIFE",1,-3886259.3739811,-907944.107528013
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MED IMOV","RECIFE",1,-3886258.20779812,-907938.969607347
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886257.01066832,-907933.6957361
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886255.86908694,-907928.666330161
"LIGADO","RESIDENCIAL","NORMAL",613,0,"REAL","RECIFE",2,-3886254.67195713,-907923.392685014
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886253.42629203,-907917.904824688
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886259.55810354,-907916.565666774
"LIGADO","RESIDENCIAL","NORMAL",613,16,"REAL","RECIFE",1,-3886260.81924206,-907922.121671179
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MED IMOV","RECIFE",1,-3886261.98152886,-907927.242047836
"LIGADO","RESIDENCIAL","NORMAL",613,15,"ESTIMADO","RECIFE",1,-3886263.13769309,-907932.335437253
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886264.35530568,-907937.699605118
"LIGADO","RESIDENCIAL","NORMAL",613,6,"REAL","RECIFE",1,-3886265.5228245,-907942.843035655
"LIGADO","RESIDENCIAL","NORMAL",613,5,"REAL","RECIFE",1,-3886266.61820829,-907947.668797477
"LIGADO","RESIDENCIAL","NORMAL",613,13,"REAL","RECIFE",1,-3886267.77726682,-907952.775233319
"LIGADO","RESIDENCIAL","NORMAL",613,4,"REAL","RECIFE",1,-3886268.9765117,-907958.058552542
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886270.18944887,-907963.402145238
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886271.43823092,-907968.903505019
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886280.18694102,-907967.444924377
"LIGADO","RESIDENCIAL","NORMAL",613,0,"MEDIA HD","RECIFE",1,-3886278.88672937,-907961.504000289
