"ID","Elev","X-Coord","Y-Coord"
"n68",7.77878,288824.94,9100455.36
"n69",8.65,288909.65,9100953.63
"n70",7.6,288857.41,9100642.47
"n71",9.072,288679.94,9099453.63
"n72",9.26021,288598.09,9098953.63
"n73",7.5495,288757.34,9099953.52
"n74",8.45872,288837.49,9100453.63
"n75",9.02,288923.3,9100953.63
"n76",8.275,288872.33,9100652.67
"n77",8.35333,288852.87,9100552.24
"n78",8.8475,288916.96,9100953.63
"n79",8.15,288860.3,9100623.09
"n80",8.085,288859.21,9100614
"n81",8.23,288875.78,9100589.34
"n82",8.25511,288876.5,9100591.71
"n83",8.14747,288871.72,9100597.86
"n84",8.37814,288864.41,9100607.3
"n85",8.1525,288874.83,9100584.94
"n86",8.49333,288694.94,9099453.63
"n87",8.78,288708.4,9099547.28
"n88",8.22333,288741.19,9099759.36
"n89",8.13,288744.69,9099784.58
"n90",7.52905,288768.21,9099953.63
"n91",8.04,288848.3,9100453.63
"n92",8.3,288733.65,9099786.32
"n93",8.51,288730.54,9099764.6
"n94",8.0925,288739.87,9099762.32
"n95",8.07,288740.27,9099762.22
"n96",8.15,288742.79,9099761.6
"n97",8.176,288746.36,9099760.73
"n98",8.13,288748.88,9099760.11
"n99",6.77,288916.68,9099719.06
"n100",6.3,288964.72,9099694.6
"n101",6.0266,289020.27,9099666.9
"n102",5.98861,289024.2,9099664.98
"n103",6.02336,289028.77,9099662.95
"n104",7.69551,289086.06,9099636.64
"n105",7.602,289105.18,9099627.83
"n106",7.57461,289118.47,9099621.71
"n107",6.212,289319.71,9099531.63
"n108",6.25,289322.6,9099530.39
"n109",2.94,289343.63,9099529.77
"n110",6.27105,289358.83,9099521.7
"n111",7.46667,289479.89,9099462.76
"n112",7.70677,289500.71,9099453.63
"n113",7.76333,289571.76,9099423.39
"n114",7.69,289575.55,9099421.64
"n115",7.3,289624.44,9099400.19
"n116",7.17444,289652.85,9099386.76
"n117",7.2275,289668.54,9099379.17
"n118",7.222,289677.49,9099374.88
"n119",7.22077,289716.95,9099356.1
"n120",6.72,289757.13,9099336.95
"n121",6.265,289841.18,9099296.93
"n122",3.35,289933.94,9099252.55
"n123",4.465,290017.31,9099211.13
"n124",4.4975,290019.63,9099209.98
"n125",4.51,290022.22,9099208.69
"n126",4.55125,290024.55,9099207.54
"n127",3.855,290096.85,9099171.62
"n128",8.67,288700.09,9099449.08
"n129",8.81031,288753.11,9099439.07
"n130",8.578,288765.47,9099439.25
"n131",7.355,288797.67,9099439.73
"n132",8.135,288817.18,9099435.37
"n133",7.96033,288818.18,9099735.4
"n134",4.26489,288767.85,9099453.63
"n135",7.57,288819.51,9099742.83
"n136",8.12,288748.17,9099764.38
"n137",7.96,288778.13,9099757.14
"n138",7.814,288814.47,9099748.48
"n139",7.56557,288887.94,9099730.95
"n140",7.716,288811.85,9099736.66
"n141",7.74,288813.81,9099745.5
"n142",7.45028,288777.35,9099953.63
"n143",8.115,288747.22,9099758.22
"n144",8.64882,288699.48,9099453.63
"n145",7.78,288857.2,9100453.63
"n146",8.42648,288878.46,9100578.64
"n147",8.488,288879.56,9100585.1
"n148",8.28,288938.16,9100953.63
"n149",8.27667,288932.37,9100917.84
"n150",8.32557,288934.09,9100911.28
"n151",7.76,288895.83,9100681.09
"n152",7.905,288887.25,9100629.47
"n153",8.33,288953.73,9101041.71
"n154",8.455,288956.87,9101045.38
"n155",7.78467,288966.64,9101128.2
"n156",7.37743,288977.6,9101190.96
"n157",6.92,288987.98,9101250.42
"n158",6.75,288992.45,9101276.05
"n159",6.47547,288999.27,9101315.08
"n160",5.905,289007.26,9101360.85
"n161",4.78,289023.45,9101453.63
"n162",8.16,289060.22,9100650.23
"n163",8.815,288967.64,9100665.52
"n164",7.60102,289062.05,9100534.2
"n165",7.97,289077.68,9100591.23
"n166",8.238,289067.59,9100631.06
"n167",8.11545,289051.28,9100673.48
"n168",7.75333,289085.62,9100527.69
"n169",7.945,288967.39,9100561.19
"n170",7.905,288887.14,9100629.66
"n171",7.71,288916.56,9100582.06
"n172",7.75333,289085.53,9100527.37
"n173",8.14,289135.53,9100513.35
"n174",8.63667,289194.17,9100496.65
"n175",8.6825,289200.46,9100496.46
"n176",8.785,289208.95,9100500.42
"n177",8.8,289221,9100493.01
"n178",8.828,289227.87,9100494.83
"n179",0.65538,289437.83,9100523.9
"n180",8.09472,288869.3,9100586.83
"n181",7.54,288966.68,9100554.67
"n182",8.8,289221.95,9100497.47
"n183",8.7625,289210.39,9100503.46
"n184",8.5225,289182.75,9100495.09
"n185",8.3,289160.66,9100498.38
"n186",7.98,289131.98,9100506.26
"n187",7.618,289102.18,9100514.44
"n188",7.43,289059.13,9100527.38
"n189",8.73,289240.2,9100493.82
"n190",8.8525,289228.82,9100492.21
"n191",8.2825,289255.01,9100495.47
"n192",5.925,289344.32,9100508.43
"n193",5.93,289345.13,9100508.61
"n194",3.31949,289468.32,9100528.89
"n195",3.085,289627.05,9100550.18
"n196",4.04,289424.3,9100524.93
"n197",3.965,289423.42,9100524.93
"n198",4.72,289384.59,9100518.52
"n199",6.51,289320.05,9100509.94
"n200",8.444,289251.76,9100500.18
"n201",8.78,289228.97,9100497.53
"n202",8.85,289216.52,9100493.78
"n203",8.82,289205.48,9100493.78
"n204",8.63,289190.08,9100495.35
"n205",8.28,289161.42,9100500.8
"n206",7.64,289086.89,9100522.59
"n207",8.46,289092.92,9100554.42
"n208",8.15,289099.01,9100578.05
"n209",7.975,289103.43,9100594.07
"n210",6.49,289188.29,9100689.68
"n211",5.48375,289197.14,9100722.83
"n212",3.744,289212.33,9100787.66
"n213",5.38257,289156.78,9100801.62
"n214",6.48489,289145.8,9100754.56
"n215",6.73,289123.05,9100669.8
"n216",6.2,289160.21,9100731.81
"n217",7.14833,289120.93,9100670.31
"n218",6.6,289178.03,9100655.4
"n219",6.38,289238.98,9100639.48
"n220",6.828,289316,9100501.68
"n221",7.41,289299.79,9100499.64
"n222",8.41759,289258.4,9100494.03
"n223",6.535,289319.95,9100502.18
"n224",7.618,289102.31,9100514.86
"n225",8.25,289083.77,9100453.52
"n226",6.21339,289134.59,9100184.24
"n227",5.98,289030.39,9100208.82
"n228",8.188,289081.82,9100444.57
"n229",8.22,289069.22,9100387.14
"n230",8.31608,289068.41,9100382.82
"n231",8.0403,289055.98,9100325.95
"n232",7.535,289043.78,9100269.22
"n233",7.61333,289042.92,9100265.63
"n234",8.52375,288930.53,9100953.63
"n235",8.18137,288875.06,9100625.13
"n236",8.17,288863.32,9100547.02
"n237",7.48,288966.64,9101170.44
"n238",4.59,289015.87,9101453.63
"n239",8.46,288938.93,9101004.33
"n240",7.494,288966.64,9101171.85
"n241",9.0425,288931.31,9101005.59
"n242",7.292,288966.64,9101233.12
"n243",8.86282,288923.53,9100992.77
"n244",8.29,288815.74,9101075.63
"n245",8.2925,288770.35,9101110.51
"n246",8.24,288745.56,9101126.08
"n247",8.33,288723.34,9101139.75
"n248",8.51717,288669.03,9101191.36
"n249",8.7175,288917.18,9100989.19
"n250",8.39,288860.97,9101035.19
"n251",8.51,288836.49,9101054.84
"n252",8.45,288773.21,9101104.09
"n253",8.5475,288715.96,9101142.58
"n254",8.24,288864.08,9101049.48
"n255",8.41333,288863.13,9101044.3
"n256",8.65,288921.23,9101008.76
"n257",7.69,288890.12,9101196.97
"n258",7.355,288903.18,9101273.48
"n259",6.58,288914.38,9101339.07
"n260",6.255,288919.34,9101367.7
"n261",6.04,288916.42,9101370.51
"n262",5.26667,288973.66,9101453.88
"n263",8.754,288925.27,9101005.89
"n264",6.825,288965.12,9101266.25
"n265",7.04,288958.33,9101234.25
"n266",8.39,288928.11,9101050.78
"n267",6.95,288968.02,9101280.55
"n268",4.64444,288997.45,9101453.63
"n269",7.2202,288845.21,9101265.75
"n270",8.26074,288753.36,9101132.5
"n271",8.24109,288751.69,9101130.07
"n272",4.97,288966.64,9101453.12
"n273",8.04,288749.25,9101135.58
"n274",7.98,288747.84,9101133.52
"n275",2.325,289252.65,9101350.06
"n276",2.37333,289210.65,9101338.79
"n277",2.52,289242.76,9101349.77
"n278",2.522,289233.14,9101306.55
"n279",2.316,289396.99,9101381.23
"n280",2.625,289261.35,9101386.19
"n281",2.38333,289251.15,9101343.83
"n282",2.29,289272.02,9101433.89
"n283",6.48,288993.12,9101313.74
"n284",6.8,288981.35,9101315.22
"n285",3.4425,289233.57,9101281.48
"n286",1.74,289258.58,9101278.13
"n287",2.49,289225.53,9101272.6
"n288",3.245,289214.03,9101220.87
"n289",3.3,289213.4,9101218.06
"n290",3.02,289211.34,9101206.62
"n291",3.24,289228.24,9101284.56
"n292",3.11782,289224.13,9101118.97
"n293",2.89091,289221.56,9101107.1
"n294",2.15667,289587.76,9101377.69
"n295",2.235,289538.92,9101375.24
"n296",2.36409,289280.61,9101379.88
"n297",1.77249,289728.41,9101386.02
"n298",2.74667,289593.19,9101377.99
"n299",3.06,289250.08,9101238.84
"n300",1.74,289258.61,9101278.25
"n301",2.40855,289589.65,9101377.85
"n302",2.89825,289596.71,9101453.63
"n303",2.38642,289589.28,9101373.46
"n304",2.49,289580.72,9101281.01
"n305",2.45,289579.63,9101270.19
"n306",2.435,289966.69,9101354.02
"n307",1.97,289755.44,9101312.8
"n308",1.88,289740.13,9101310.02
"n309",1.94,289746.29,9101311.14
"n310",2.01321,289739.53,9101316.49
"n311",2.16629,289736.51,9101349.3
"n312",1.82789,289728.42,9101380.04
"n313",1.586,289726.24,9101453.63
"n314",1.9956,289740.37,9101306.64
"n315",1.56148,289748.39,9101227.57
"n316",1.68,289803.11,9101318.37
"n317",2.11988,289884.88,9101333.66
"n318",2.495,289966.64,9101348.94
"n319",2.46,290141.81,9101382.27
"n320",1.942,290231.36,9101399.3
"n321",2.655,290072.11,9101368.97
"n322",2.49,290015.27,9101358.16
"n323",1.9,289875.6,9101339.23
"n324",1.69626,289870.31,9101453.63
"n325",1.624,289924.89,9100988.7
"n326",1.905,289906.79,9101113.1
"n327",1.78349,289886.91,9101247.8
"n328",2.18,289876.14,9101329.37
"n329",2.05529,289901.5,9101149.47
"n330",1.82,289898.04,9101172.99
"n331",1.79933,289888.07,9101241.72
"n332",1.58,289635.06,9101209.17
"n333",1.55,289748.8,9101224.35
"n334",1.568,289824.12,9101235.31
"n335",1.625,289881.59,9101242.94
"n336",1.72598,289885.08,9101242.96
"n337",3.19865,289966.66,9101255.2
"n338",1.63901,289834.09,9101166.41
"n339",1.68362,289834.52,9101163.4
"n340",2.34,289861.51,9100976.92
"n341",1.73333,289962.1,9100973.49
"n342",2.43,289857.33,9100976.92
"n343",1.74,289683.65,9101145.07
"n344",1.67386,289647.38,9101140.17
"n345",1.51,289709.16,9101147.87
"n346",1.54667,289709.16,9101146.48
"n347",1.67658,289721.91,9101049.93
"n348",1.545,289677,9101140.46
"n349",1.61,289711.13,9101144.76
"n350",1.68526,289776.13,9101154.58
"n351",2.246,289784.57,9101095.15
"n352",1.97,289892.16,9101171.78
"n353",1.86567,289894.95,9101172.19
"n354",1.81,289898.09,9101172.68
"n355",1.73,289872.49,9101329.25
"n356",1.75,289883.03,9101248.89
"n357",1.96,289895.98,9101163.68
"n358",1.9597,289898.58,9101147.35
"n359",1.84298,289921.1,9100982
"n360",1.84,289895.84,9101148.8
"n361",1.79677,289904.39,9101108.52
"n362",1.68667,289909.54,9101109.26
"n363",1.87,289964.21,9101114.95
"n364",2.6825,289966.59,9101183.34
"n365",2.48,289964.77,9101353.64
"n366",2.46,289953.95,9101453.63
"n367",2.57,289965.59,9101345.61
"n368",2.685,289966.66,9101315.26
"n369",3.11,289973.91,9101254.48
"n370",2.93333,289983.94,9101185.73
"n371",2.02364,289992.79,9101125.07
"n372",1.91,290235.97,9101294.4
"n373",1.905,290232.21,9101294.45
"n374",3.11333,290080.69,9101272.06
"n375",2.66,290149.02,9101282.33
"n376",1.85571,290242.05,9101294.33
"n377",2.44576,290141.64,9101384.7
"n378",2.43,290140.62,9101389.03
"n379",2.525,290141.89,9101380.1
"n380",2.84,290092.65,9101200.7
"n381",3.05881,290073.08,9101317.48
"n382",2.91704,290099.53,9101159.69
"n383",1.695,290168.5,9101140.66
"n384",2.22,290102.2,9101134.71
"n385",2.18333,290044.26,9101128.05
"n386",2.24,290041,9101128.05
"n387",1.85,289966.59,9101119.66
"n388",1.73,290233.14,9101139.15
"n389",1.57,290259.36,9101139.07
"n390",1.92599,290266.35,9101138.93
"n391",1.53833,290260.53,9101134.75
"n392",1.688,290257,9101147.21
"n393",1.73417,290241.53,9101208.55
"n394",1.91,290238.85,9101219.18
"n395",2.02615,290235.66,9101302.52
"n396",2.11,290234.54,9101331.74
"n397",1.956,290231.3,9101397.85
"n398",1.68,290246.56,9101207.5
"n399",1.665,290235.25,9101209.86
"n400",1.96667,290176.21,9101212.21
"n401",2.01,290161.44,9101210.17
"n402",1.38,290350.35,9101185.8
"n403",1.48,290358.58,9101184.21
"n404",1.55667,290434.66,9101168.34
"n405",1.90307,290267.25,9101136.77
"n406",1.75734,290171.08,9101138.32
"n407",2.15416,290107,9101133.09
"n408",2.02,290100.73,9101132.8
"n409",2,289994.02,9101118.88
"n410",1.87,289964.21,9101114.95
"n411",1.8,289974.73,9101029.87
"n412",1.64667,290046.57,9101023.34
"n413",1.57,290046.45,9101020.95
"n414",1.52,290046.25,9101016.61
"n415",1.7325,290044.55,9100971.56
"n416",1.88078,290132.41,9100959.07
"n417",1.71,290132.2,9100953.63
"n418",1.88,290132.26,9100955.3
"n419",1.83,290139.92,9101011.17
"n420",1.69865,290037.56,9100967.95
"n421",1.778,290132.33,9100957.21
"n422",1.65235,290179.35,9100953.63
"n423",1.72667,290353.65,9100930.18
"n424",1.682,290226.08,9100947.34
"n425",2.32,290334.94,9100665.46
"n426",2.32,290335.17,9100665.41
"n427",1.77,290372.43,9100788.99
"n428",1.825,290370.04,9100840.19
"n429",1.80212,290367.97,9100884.54
"n430",1.694,290356.34,9100924.16
"n431",1.81,290343.15,9100953.63
"n432",1.96745,290356.52,9100929.81
"n433",1.68,290034.97,9100968.47
"n434",2.045,289966.64,9100621.46
"n435",1.38,290125.81,9100655.56
"n436",1.95,290117.38,9100777.11
"n437",2.05444,290113.16,9100837.52
"n438",1.94,290113.6,9100840.24
"n439",1.77,290034.47,9100840.24
"n440",1.93,290034.19,9100953.63
"n441",1.78,290034.34,9100634.07
"n442",2.01091,290211.55,9100840.26
"n443",1.955,290291.89,9100840.24
"n444",3.205,289727.35,9100573.13
"n445",3.36,289728.87,9100570.63
"n446",2.4,289893.72,9100605.87
"n447",2.41514,289903.38,9100607.94
"n448",2.38167,289907.95,9100608.91
"n449",2.33,289913.77,9100610.16
"n450",2.285,289915.36,9100610.49
"n451",2.365,289921.98,9100612.1
"n452",1.94,289621.73,9100687.99
"n453",3.355,289641.26,9100550.34
"n454",3.57,289689.52,9100561.53
"n455",3,289470.54,9100525.79
"n456",4.06,289425.91,9100519.68
"n457",1.92,289621.22,9100691.98
"n458",2.15,289665.62,9100693.47
"n459",1.77,290291.98,9101077.1
"n460",1.74,290257.83,9101159.47
"n461",1.68,290246.58,9101207.11
"n462",1.93,290236.39,9101396.34
"n463",1.9443,290231.18,9101401.74
"n464",1.95458,290233.93,9101401.37
"n465",1.92868,290233.98,9101398.8
"n466",1.635,290441.58,9101364.06
"n467",1.94878,290231.04,9101404.88
"n468",1.615,290229.16,9101453.65
"n469",1.48,290352.89,9101375.99
"n470",1.62,290244.68,9101300.76
"n471",1.594,290254.53,9101156.78
"n472",1.71056,290255.97,9101151.2
"n473",1.79107,290247.52,9101154.67
"n474",2.035,290260.75,9101152.45
"n475",1.83103,290277.13,9101112.92
"n476",1.66,290268.2,9101134.46
"n477",1.755,290318.26,9101013.69
"n478",1.73224,290238.49,9101014.29
"n479",1.76667,290140.58,9101016.78
"n480",1.59,290040.83,9101020.45
"n481",1.584,290026.01,9101021.21
"n482",1.695,289970.93,9101017.91
"n483",1.62,290081.96,9101014.22
"n484",1.81,290319.35,9101011.07
"n485",1.81948,290367.3,9100836.67
"n486",1.97,290242.7,9100836.03
"n487",1.84,290370.2,9100836.69
"n488",2.02,290043.21,9101122.58
"n489",1.71,290171.16,9101136.65
"n490",2.33,290043.49,9101100.49
"n491",1.655,290043.3,9101076.38
"n492",1.95,290043.31,9101027.01
"n493",1.72,290043.18,9101022.2
"n494",1.88667,290043.36,9101082.11
"n495",1.681,290450.02,9101133.25
"n496",1.58,290443.1,9101084.23
"n497",2.12519,290354.08,9101099.62
"n498",2.04524,290354.42,9101091.94
"n499",1.76833,290453.93,9101195.37
"n500",1.37636,290463.98,9101354.68
"n501",1.69929,290464.32,9101360.08
"n502",1.674,290464.8,9101367.73
"n503",1.6825,290452.13,9101166.69
"n504",1.96923,290311.88,9101287.68
"n505",1.85429,290353.8,9101279.62
"n506",1.72333,290364.09,9101277.64
"n507",1.595,290349.04,9101374.52
"n508",1.538,290348.55,9101379.35
"n509",1.49,290353.28,9101378.48
"n510",1.80445,290343.13,9101453.67
"n511",1.73333,290348.17,9101384.06
"n512",2.295,290332.14,9100667.76
"n513",1.8611,290358.95,9100757.23
"n514",1.92,290366,9100884.59
"n515",1.61,290354.37,9100924.48
"n516",1.6425,290305.83,9100931.24
"n517",1.76357,290156.74,9100952
"n518",1.64333,290368.58,9100789.39
"n519",1.85667,290219.75,9100903.5
"n520",1.67,290226.38,9100940.53
"n521",1.74,290225.8,9100953.63
"n522",1.65833,290238.45,9101009.94
"n523",1.715,289966.64,9101015.48
"n524",1.555,290028.29,9101018.47
"n525",1.51848,290043.07,9101017.49
"n526",1.808,290041.03,9101073.51
"n527",2.225,290043.92,9101064.37
"n528",1.205,290276.26,9101076.81
"n529",1.31707,290276.19,9101079.56
"n530",1.35868,290276.33,9101074.8
"n531",2.181,290046.07,9101058.22
"n532",1.57,290492.12,9101355.07
"n533",1.60167,290487.07,9101357.04
"n534",1.47333,290485.71,9101355.54
"n535",1.47,290484.36,9101354.06
"n536",0.91,290466.9,9101356.7
"n537",1.23833,290466.02,9101359.74
"n538",1.81177,290461.45,9101360.65
"n539",1.66,290456.13,9101361.7
"n540",1.175,290480.03,9101363.19
"n541",1.56852,290486.4,9101344.52
"n542",1.88,290467.71,9101441.21
"n543",1.82333,290480.86,9101163.51
"n544",1.75,290588.23,9101319
"n545",1.72,290568.95,9101325.4
"n546",1.635,290525.11,9101144.05
"n547",1.8,290587.69,9101317.38
"n548",1.60667,290582.25,9101322.47
"n549",1.57,290574.83,9101324.9
"n550",1.7275,290497.12,9101354.94
"n551",1.49,290496.23,9101350.72
"n552",1.75643,290581.33,9101317.1
"n553",1.5175,290496.23,9101348.39
"n554",1.77333,290588.72,9101320.35
"n555",1.895,290599.74,9101316.75
"n556",1.8125,290566.98,9101229.94
"n557",1.945,290570.72,9101239.91
"n558",1.8,290573.87,9101248.48
"n559",1.765,290598.04,9101313.57
"n560",1.59,290595.37,9101311.89
"n561",1.76333,290565.13,9101229.41
"n562",3.265,290698.08,9101271.55
"n563",3.12,290704.54,9101269.37
"n564",1.855,290563.15,9101223.71
"n565",1.57125,290533.13,9101143.74
"n566",1.5725,290532.71,9101142.64
"n567",2.805,290636.44,9101104.66
"n568",1.79122,290566.16,9101131.1
"n569",1.70714,290539.39,9101141.34
"n570",1.618,290464.74,9100953.63
"n571",1.4625,290474.95,9100984.31
"n572",1.66,290485.8,9101016.92
"n573",1.735,290501.49,9101058.97
"n574",3.0625,290667.94,9101190.37
"n575",2.424,290633.25,9101203.67
"n576",4.19,290798.51,9101139.94
"n577",2.815,290659.37,9101190.87
"n578",2.5,290643.1,9101196.9
"n579",1.75,290568.05,9101224.93
"n580",1.9,290565.48,9101225.93
"n581",2.17422,290605.55,9101208.24
"n582",3.105,290666.19,9101185.64
"n583",3.085,290667.39,9101188.88
"n584",2.205,290621.78,9101429.68
"n585",1.87,290499.6,9101451.29
"n586",1.96,290496.37,9101451.43
"n587",2.23,290472.99,9101453.86
"n588",2.2625,290640.25,9101430.28
"n589",2.62,290647.29,9101428.62
"n590",2.74364,290651.39,9101431.94
"n591",2.11,290640.44,9101421.86
"n592",2.2,290629.42,9101423.95
"n593",2.17333,290617.28,9101426.06
"n594",1.72,290506.95,9101445.94
"n595",2.37,290618.88,9101421.8
"n596",1.65805,290444.59,9101453.63
"n597",1.86,290495.71,9101444.92
"n598",1.84,290598.53,9101317.14
"n599",2.1,290635.77,9101418.13
"n600",3.145,290744.21,9101402
"n601",3.1,290748.89,9101406.6
"n602",2.31,290638.75,9101426.2
"n603",3.165,290745.68,9101398.09
"n604",2.1375,290630.54,9101453.43
"n605",2.155,290648.89,9101453.7
"n606",2.59,290636.92,9101453.96
"n607",3.17,290754.24,9101400.08
"n608",4.185,290880.11,9101382.43
"n609",3.1425,290754.91,9101405.44
"n610",3.13,290751.87,9101397.3
"n611",4.08875,290877.63,9101375.05
"n612",4.255,290878.48,9101377.57
"n613",4.27667,290878.87,9101378.75
"n614",3.205,290753.84,9101402.58
"n615",3.145,290674.49,9101186.89
"n616",3.0675,290675.17,9101188.77
"n617",2.71,290766.64,9101453.63
"n618",3.16,290705.62,9101272.31
"n619",4,290832.89,9101241.78
"n620",3.96,290836.81,9101240.79
"n621",3.9625,290870.73,9101232.28
"n622",4.13333,290913.85,9101221.27
"n623",4.17,290833.66,9101244.25
"n624",3.1,290706.76,9101275.63
"n625",3.185,290760.31,9101256.92
"n626",4,290832.15,9101239.13
"n627",2.54333,290772.93,9101453.63
"n628",4.09,290799.42,9101142.65
"n629",4.16,290797.71,9101137.57
"n630",3.128,290673.11,9101183.07
"n631",2.28909,290613.97,9101019.67
"n632",2.6775,290642,9101096.69
"n633",2.715,290642.04,9101100.31
"n634",3.14387,290666.19,9101091.74
"n635",3.8425,290734.91,9101065.75
"n636",3.9,290771.16,9101052.47
"n637",2.6075,290644.26,9101102.97
"n638",3.89,290712.84,9101076.79
"n639",3.8,290747.3,9101063.68
"n640",4.02667,290769.9,9101056.21
"n641",3.49,290683.02,9101081.94
"n642",3.88667,290755.95,9101054.9
"n643",3.9675,290767.93,9101050.44
"n644",2.7625,290642.66,9101098.54
"n645",3.49,290683.48,9101083.42
"n646",3.93667,290761.46,9101054.52
"n647",3.97,290768.39,9101051.78
"n648",1.62,290532.26,9101141.35
"n649",2.77,290639.33,9101101.31
"n650",2.29,290585.82,9100953.67
"n651",2.2925,290609.55,9101019.14
"n652",4.1225,290739.46,9100971.96
"n653",3.93222,290745,9100969.61
"n654",3.855,290806.92,9100944.13
"n655",1.56,290503.41,9101064.1
"n656",2.42,290607.66,9101026.46
"n657",2.35,290605.44,9101020.45
"n658",2.245,290580.84,9100953.66
"n659",2.725,290634.31,9101098.56
"n660",2.31154,290591.49,9100953.71
"n661",4.15,290798.97,9101141.3
"n662",4.31,290795.74,9101142.51
"n663",2.75,290635.16,9101101.12
"n664",1.70667,290576.71,9101120.91
"n665",2.20667,290557.46,9100953.63
"n666",2.34,290577.74,9100945.25
"n667",3.99,290770.75,9101042.99
"n668",3.876,290771.26,9101050.65
"n669",3.9175,290771.43,9101053.26
"n670",4.16,290783.38,9101087.5
"n671",4.27,290796,9101124.22
"n672",4.13,290801.34,9101140.42
"n673",3.88,290814.52,9101180.5
"n674",4.07,290828.72,9101222.4
"n675",3.9075,290834.39,9101239.24
"n676",3.93556,290835.07,9101241.23
"n677",3.895,290856.93,9101305.02
"n678",3.97,290878.85,9101372.12
"n679",4.23,290880.99,9101378.35
"n680",4.05034,290896.21,9101422.8
"n681",4.06,290906.3,9101453.63
"n682",4.082,290732.57,9100953.63
"n683",3.98187,290756.55,9101017.39
"n684",2.07,290485,9100614.43
"n685",1.94333,290506.62,9100750.3
"n686",2.075,290487.38,9100613.6
"n687",1.995,290503.23,9100706.51
"n688",2.05,290510.49,9100749.04
"n689",1.87,290532.39,9100808.53
"n690",2.42,290497.7,9100606.62
"n691",1.8125,290516.13,9100741.52
"n692",2.0225,290518.6,9100748.23
"n693",3.25,290594.78,9100727.82
"n694",4.215,290639.33,9100715.88
"n695",4.024,290610.8,9100643.12
"n696",2.71,290636.7,9100868.47
"n697",4.08667,290785.5,9101101.46
"n698",3.98437,290867.46,9101344.88
"n699",3.99983,290893.17,9101421.16
"n700",4.205,290903.39,9101453.63
"n701",4.05171,290773.54,9101051.45
"n702",4.19,290777.58,9101063.51
"n703",4.13235,290803.08,9101139.77
"n704",4.08,290804.32,9101143.48
"n705",3.9775,290827.24,9101213.03
"n706",4.05,290847.88,9101272.92
"n707",4.32533,290854.95,9101292.91
"n708",4.23,290873.89,9101350.72
"n709",4.15,290882.21,9101375.03
"n710",4.12643,290898.23,9101421.85
"n711",4.3397,290909.21,9101453.72
"n712",4.198,290883.2,9101377.93
"n713",4.2225,290959.16,9101364.05
"n714",4.072,290912.26,9101369.56
"n715",4.125,290889.07,9101395.08
"n716",2.89,290897.2,9101392.98
"n717",4.24,290963.19,9101363.31
"n718",4.29,290961.4,9101372.82
"n719",3.864,290820.76,9100966.94
"n720",4.035,290859.03,9101061.84
"n721",3.955,290822.19,9100970.47
"n722",3.86333,290818.14,9100972.53
